Category	Order	Family	Name
			Argentine angelshark
			Chilean angelshark
			Australian angelshark
			Philippines angelshark
			Pacific angelshark
			Atlantic angelshark
			Taiwan angelshark
			Angular angelshark
			Disparate angelshark
			Japanese angelshark
			Indonesian angelshark
			Mexican angelshark
			Clouded angelshark
			Hidden angelshark
			Smooth-back angelshark
			Western angelshark
			Angelshark
			Ornate angelshark
			Ocellated angelshark
Bullhead sharks	Heterodontiformes	Heterodontidae Bullhead sharks	Horn shark
			Crested bullhead shark
			Japanese bullhead shark
			Mexican hornshark
			Oman bullhead shark
			Port Jackson shark
			Galapagos bullhead shark
			White-spotted bullhead shark
			Zebra bullhead shark
			Cryptic hornshark
Mackerel sharks	Lamniformes	Alopiidae Thresher sharks	Pelagic thresher shark
			Big-eye thresher shark
			Thresher shark
		Cetorhinidae Basking sharks	Basking shark
		Lamnidae Mackerel sharks	Great white shark
			Short-fin mako
			Long-fin mako
			Salmon shark
			Porbeagle shark
		Megachasmidae Megamouth sharks	Megamouth shark
		Mitsukurinidae Goblin sharks	Goblin shark
		Odontaspididae Sand tiger sharks	Sand-tiger shark
			Small-tooth sandtiger shark
			Big-eye sandtiger shark
		Pseudocarchariidae Crocodile sharks	Crocodile shark
Carpet sharks	ORECTOLOBIFORMES	Brachaeluridae Blind sharks	Blue-grey carpetshark
			Blind shark
		Ginglymostomatidae Nurse sharks	Nurse shark
			Pacific nurse shark
			Tawny nurse shark
			Short-tail nurse shark
		Hemiscylliidae Bamboo sharks	Arabian carpetshark
			Burmese bamboo shark
			Grey bamboo shark
			Hasselt's bamboo shark
			Slender bamboo shark
			White-spotted bamboo shark
			Brown-banded bamboo shark
			Indonesian speckled carpetshark
			Cenderawasih epaulette shark
			Papuan epaulette shark
			Halmahera epaulette shark
			Triton epaulette shark
			Leopard epaulette shark
			Epaulette shark
			Hooded carpetshark
			Speckled carpetshark
			Seychelles carpetshark
		Orectolobidae Wobbegong sharks	Tasselled wobbegong
			Floral banded wobbegong
			Banded wobbegong
			Western wobbegong
			Japanese wobbegong
			Indonesian wobbegong
			Spotted wobbegong
			Ornate wobbegong
			Dwarf-spotted wobbegong
			Network wobbegong
			Northern wobbegong
			Cobbler wobbegong
		Parascylliidae Collared carpetsharks	Barbel-throat carpetshark
			Taiwan saddled carpetshark
			Saddle carpetshark
			Collared carpetshark
			Elongate carpetshark
			Rusty carpetshark
			Ginger carpetshark
			Necklace carpetshark
		Rhincodontidae Whale sharks	Whale shark
		Stegostomatidae Zebra sharks	Zebra shark
Ground sharks	Carcharhiniformes	Carcharhinidae Requiem sharks	Black-nose shark
			Silver-tip shark
			Big-nose shark
			Graceful shark
			Grey reef shark
			Pig-eye shark
			Borneo shark
			Copper shark
			Spinner shark
			Nervous shark
			Pacific smalltail shark
			Coates' shark
			White-cheek shark
			Silky shark
			Creek whaler
			Galapagos shark
			Pondicherry shark
			Human's whaler shark
			Fine-tooth shark
			Smooth-tooth blacktip shark
			Bull shark
			Black-tip shark
			Oceanic whitetip shark
			Hard-nose shark
			Black-tip reef shark
			Dusky shark
			Caribbean reef shark
			Sandbar shark
			Small-tail shark
			Black-spot shark
			Night shark
			Spot-tail shark
			Australian blacktip shark
			Indonesian whaler shark
			False smalltail shark
			Tiger shark
			Ganges shark
			Northern river shark
			Spear-tooth shark
			Mukah river shark
			Dagger-nose shark
			Broad-fin shark
			Borneo broadfin shark
			Slit-eye shark
			White-nose shark
			Sickle-fin lemon shark
			Lemon shark
			Blue shark
			Milk shark
			Brazilian sharpnose shark
			Pacific sharpnose shark
			Grey sharpnose shark
			Caribbean sharpnose shark
			Australian sharpnose shark
			Atlantic sharpnose shark
			Spade-nose shark
			Pacific spadenose shark
			White-tip reef shark
		Hemigaleidae Weasel sharks	Hook-tooth shark
			Australian weasel shark
			Sickle-fin weasel shark
			Snaggle-tooth shark
			White-tip weasel shark
			Atlantic weasel shark
			Slender weasel shark
			Straight-tooth weasel shark
		Leptochariidae Barbeled houndsharks	Barbeled houndshark
		Proscylliidae Finback catsharks	Harlequin catshark
			Cuban ribbontail catshark
			Pygmy ribbontail catshark
			African ribbontail catshark
			Philippines ribbontail catshark
			Graceful catshark
			Magnificent catshark
		Pseudotriakidae False catsharks	Slender smooth-hound
			Sulu gollumshark
			White-marked gollumshark
			Dwarf false catshark
			False catshark
		Scyliorhinidae Catsharks	White-bodied catshark
			Rough-skin catshark
			White ghost catshark
			Pinocchio catshark
			Short-belly catshark
			Brown catshark
			Big-head catshark
			Hoary catshark
			Flaccid catshark
			Fedorov's catshark
			Garrick's catshark
			Humpback catshark
			Long-fin catshark
			Small-belly catshark
			Short-nose demon catshark
			Broad-nose catshark
			Japanese catshark
			Long-nose catshark
			Iceland catshark
			Long-head catshark
			Flat-head catshark
			Broad-mouth catshark
			Ghost catshark
			Black roughscale catshark
			Small-eye catshark
			Small-dorsal catshark
			Milk-eye catshark
			Large-nose catshark
			Small-fin catshark
			Fat catshark
			Borneo catshark
			Deep-water catshark
			Broad-gill catshark
			Saldanha catshark
			Pale catshark
			South China catshark
			Sponge-head catshark
			Panama ghost catshark
			Galbraith's catshark
			Black wonder catshark
			Australian spotted catshark
			Blotched catshark
			Starry catshark
			Western spotted catshark
			Pale spotted catshark
			Dwarf catshark
			Orange spotted catshark
			Variegated catshark
			Gulf catshark
			Bali catshark
			Spotted-belly catshark
			Banded sand catshark
			Australian marbled catshark
			Coral catshark
			Eastern banded catshark
			Kanakorum catshark
			Australian black-spotted catshark
			Arabian catshark
			Dusky catshark
			Broad-head catshark
			New Zealand catshark
			Galápagos catshark
			Bristly catshark
			Spot-less catshark
			Sombre catshark
			Mud catshark
			Dusky-snout catshark
			Narrow-head catshark
			White-fin swellshark
			Cook's swellshark
			Reticulated swellshark
			Formosa swellshark
			Australian reticulate swellshark
			Draughtsboard shark
			Australian swellshark
			Painted swellshark
			Sarawak pygmy swellshark
			Flag-tail swellshark
			Indian swellshark
			Speckled swellshark
			Steven's swellshark
			Balloon shark
			Blotchy swellshark
			Saddled swellshark
			Swellshark
			Narrow-bar swellshark
			Philippines swellshark
			Lollipop catshark
			Southern lollipop catshark
			Australian sawtail catshark
			Northern sawtail catshark
			Antilles catshark
			Rough-tail catshark
			Atlantic sawtail catshark
			Long-fin sawtail catshark
			Gecko catshark
			Slender sawtail catshark
			Long-nose sawtail catshark
			Black-mouth catshark
			Mouse catshark
			Southern sawtail catshark
			Broad-fin sawtail catshark
			Peppered catshark
			African sawtail catshark
			Phallic catshark
			Black-tip sawtail catshark
			Dwarf sawtail catshark
			Springer's sawtail catshark
			Speckled catshark
			Black-spotted catshark
			Lined catshark
			Indonesian speckled catshark
			Tiger catshark
			Quagga catshark
			Rusty catshark
			Puffadder shyshark
			Brown shyshark
			Natal shyshark
			Dark shyshark
			Honey-comb catshark
			Grinning catshark
			Crying catshark
			White-spotted catshark
			Izak catshark
			White-tip catshark
			White-clasper catshark
			Beige catshark
			Campeche catshark
			Velvet catshark
			McMillan's catshark
			Black-gill catshark
			Salamander catshark
			File-tail catshark
			Rough-back catshark
			Indonesian filetail catshark
			Gulf of Mexico filetail catshark
			One-fin catshark
			Striped catshark
			Leopard catshark
			Narrow-mouthed catshark
			Red-spotted catshark
			Narrow-tail catshark
			Lizard catshark
			Slender catshark
			Boa catshark
			Lesser-spotted catshark
			Yellow-spotted catshark
			West African catshark
			Comoro catshark
			Brown-spotted catshark
			Freckled catshark
			White-saddled catshark
			Blotched catshark
			Chain catshark
			Nursehound
			Izu catshark
			Cloudy catshark
			Dwarf catshark
			Dark freckled catshark
			Oakley's catshark
		Family Sphyrnidae Hammerhead sharks	Wing-head shark
			Scalloped bonnethead
			Scalloped bonnethead
			Scalloped bonnethead
			Scoop-head hammerhead
			Great hammerhead
			Bonnethead shark
			Small-eye hammerhead
			Smooth hammerhead
		Triakidae Houndsharks	Whiskery shark
			Tope shark
			Sail-back houndshark
			Deep-water sicklefin houndshark
			Ocellate topeshark
			Sickle-fin houndshark
			Indonesian houndshark
			Japanese topeshark
			White-fin topeshark
			Black-tip tope
			Long-nose houndshark
			Big-eye houndshark
			White-margin fin houndshark
			Gummy shark
			Starry smooth-hound
			Grey smooth-hound
			Dusky smooth-hound
			Caribbean smooth-hound
			Sharp-tooth smooth-hound
			Striped smooth-hound
			Spot-less smooth-hound
			Brown smooth-hound
			Small-eye smooth-hound
			Spotted estuary smooth-hound
			Sickle-fin smooth-hound
			Star-spotted smooth-hound
			Mangalore houndshark
			Speckled smooth-hound
			Dwarf smooth-hound
			Arabian smooth-hound
			Common smooth-hound
			Narrow-fin smooth-hound
			White-spotted smooth-hound
			Black-spotted smooth-hound
			Australian grey smooth-hound
			Narrow-nose smooth-hound
			Gulf smooth-hound
			Western spotted gummy shark
			Eastern spotted gummy shark
			Humpback smooth-hound
			White-fin smooth-hound
			Sarawak smooth-hound
			Kermadec smooth-hound
			Flap-nose houndshark
			Sharp-fin houndshark
			Spotted houndshark
			Sharp-tooth houndshark
			Banded houndshark
			Leopard shark
